Manage ride booking and pickup coordination,Book a ride for immediate pickup with an available driver and minimal wait time
Display layover durations at connecting locations,Reduce the time required to complete tasks
Begin investing,Reduce the risk of significant losses when starting to invest
Operate an end-to-end DevOps workflow from a unified interface,Perform a system health check
Incorporate external feedback into code reviews and apply resulting suggestions,Merge changes from one branch into another branch
Review proposed code changes to ensure they meet quality standards before merging,Enable discoverability and learning from community resources
Review proposed code changes to ensure they meet quality standards before merging,Enforce code quality gates before changes reach the primary branch
"Add media and interactive content to a post, including images, videos, links, and polls",Stay updated on trends
Play a video,Watch videos frequently
Provide a unified personal reading library that persists over time,Save valuable documents and resources for later access
Enable guest access and session control for convenient platform use,Log out after completing tasks
Support end-to-end software delivery pipeline (build/test/deploy/monitor),Access an interface to view system status and manage infrastructure
Allow viewers to choose videos to watch from available options,View available viewing options for a video through conversation or discussion
Provide actionable severe-weather awareness and response support.,"Retrieve the temperature for a specified time period (current, next day, or a particular hour)."
Run marketing more efficiently through automation and performance optimization,Publish and optimize professional social content to grow reach
Accelerate learning,Provide guidance on what to do next after getting started
Be able to work using either of two different methods,Enable terminal-based development workflow
Provide integrations and APIs,Generate financial value
Generate financial value,Enable 'read later' and knowledge retention workflows
"Indicate before opening an article whether full access requires a subscription, membership, or sign-in",Categorize news into different categories
Use a grocery list while shopping to add listed items to a cart.,"Add items to a cart, including previously purchased items"
Filter video content to find specific types,Access a central feed showing the latest content from subscribed creators
Enable private searching so others cannot tell when the user is online,Log out after completing tasks
Prevent sending the wrong amount or transferring money to the wrong person,Access a spending limit feature
Navigate to the homepage or dashboard,Access course pages
"Support user control over recommendations, history, and privacy",Temporarily hide or reset viewing history without permanently deleting it
Consume information while away from a computer and multitasking,"Enable efficient, personalized news consumption"
Improve project planning and decision quality before execution,Gather multiple perspectives to inform project work
Read on a tablet instead of a computer,"Open documents, including PDF files, on a tablet"
Find news articles that match personal interests or current work,Provide cross-source transparency and evaluation of news stories.
Receive a daily highlight of the next day's weather,Prevent location information from being stored remotely while authenticated
Set aside a dedicated block of time to practice questions,Write solutions to coding problems
"Provide an accessible, customizable, low-distraction weather experience.",Read weather information in a consolidated layout without excessive scrolling
Communicate instantly with people within the university community,Stay informed about what participants are discussing and sharing in a group conversation
Maintain a smooth process flow,Reduce the amount of content collaborators need to review
Manage store context to ensure item availability and correct ordering,Show which searched items are available at the selected store
Evaluate and improve problem-solving performance using feedback and analytics.,Track completed coding problems and improvement over time
Receive and use coding problem identifiers to find specific problems,Select practice questions by identifier number.
Present news items for review when arriving at a location,Access news on a flexible schedule
Support uninterrupted playback while multitasking,Enable consuming content through audio without needing to watch visual cues
Organize and retrieve messages for follow-up and productivity,Return later to complete follow-up tasks associated with messages
Use a grocery list while shopping to add listed items to a cart.,"Add items to a cart, including previously purchased items"
Protect the traveler from time-related itinerary mistakes,Block cookies while browsing
Manage and monitor spending,Allow users to dispute a transaction
Link a credit or debit card to a digital payment system,Retain data and ensure continuity across devices while reducing local storage use
Choose a video to watch from a saved list,Record conversations
List items for sale,Protect users' privacy and control visibility on the platform
"Use reward points, miles, or vouchers to book flights",Complete required declaration forms
Learn about investing and trading,Learn about algorithms used by companies and active traders to generate profits
Enable secure and compliant access to trading features,View personal information
Track status of job-related items,Track saved job postings over time
See recommendations for shows similar to a selected or currently watched show,Enable cross-platform content discovery and access decisions
"Conduct outreach with clarity, privacy, and low friction",Decide on a home within one week to one month
Browse social content,Search messages to locate credit card numbers in text content
Consume information while away from a computer and multitasking,Browse news while walking a dog
Customize an editing environment to match personal preferences using add-ons and interface settings,Improve work efficiency
Open the exact booking page with trip details already pre-filled,Book last-minute flights
Avoid silence by maintaining continuous background audio,Play media in the background continuously to avoid silence.
Find low-cost flight options and monitor prices over time to secure the best available fare before booking,Monitor travel prices over time to identify favorable deals
Watch a diverse range of content,Decide how much time to spend on a course based on grade information
Streamline the end-to-end job application workflow from discovery to submission,Consolidate all relevant information in a single location
Protect user privacy and reduce unwanted influence/manipulation in the news experience.,Read only headlines when time is limited
Provide decision support and risk management for investing,Rebalance investment allocations on a periodic schedule
Win business,Present identity credentials to establish credibility
Recommend shows and movies based on viewing history and genre preferences,Maintain stable content recommendations over time
Manage a personalized and controllable content feed,Allow users to hide an article from the feed
Share a post,Maintain an up-to-date professional profile
Create a shopping list by reusing and customizing a template for different occasions,View item quantity
Track comment threads,Enable community interaction and communication
Ensure code is accessible and resilient across devices and over time,Back up code in secure storage to prevent loss
Trade cryptocurrencies using an easy-to-use exchange interface,Convert cash from a bank account into cryptocurrency
Guide new users through adding their credentials.,Receive updates about campus activities and events
Communicate with a bank representative through a web-based chat interface,Lock a payment card
"Discover, install, and manage extensions/plugins effectively",Monitor the production environment to detect errors
Customize a system by editing a configuration file,Modify configuration files and settings
Navigate and manipulate project content efficiently,Quickly locate a specific file within a large project
Manage a watchlist to plan viewing,Prioritize the user's watchlist based on how soon items will become unavailable.
Protect user privacy and prevent unwanted contact,Display job openings that match selected personal filters and criteria
Manage post-ride tasks (payments/receipts and feedback),Tip the driver after a ride
Prevent skills from deteriorating over time through regular practice,"Support focused, personalized practice planning."
Support focused reading with progress feedback,View the percentage of completion for the current chapter
Support message follow-up and personal productivity,Book appointments with a dentist or clinic
Monitor and understand personal finances and account activity,Send a notification after each transaction
Support day-to-day weather checking and planning.,View significant weather events occurring in a specified location
Protect privacy by preventing unauthorized access to or use of personal data and conversations,Encrypt data at rest and in transit
