NEGATIVE,Minimize the time spent navigating between different online portals to apply for jobs,Streamline the job application workflow end-to-end (from interest to submission and status tracking)
NEGATIVE,Use an editor that is supported by an active community,Bind the open-file action to a keyboard shortcut
NEGATIVE,Ask healthcare professionals health-related questions,Save a partially created post as a draft to finish later
POSITIVE,Interact with posts in a feed,Stay updated on trends
NEGATIVE,Display the number of available units,Discover places using a digital platform
POSITIVE,"Request that other users review, add, or like a playlist",Create a playlist for other users to view
POSITIVE,Operate an end-to-end DevOps workflow from a unified interface,Perform a system health check
NEGATIVE,"Support continuous, low-effort background listening",Identify the best available version of a song
POSITIVE,Provide safe and trustworthy content experiences,Enforce controls on all user uploads.
POSITIVE,Provide product discovery and decision support,Use a shopping website to find grocery items quickly without unnecessary browsing
SYMMETRIC,Monitor available opportunities and information in the job market and professional community,Search for job opportunities
NEGATIVE,Retrieve a referenced question.,Estimate a recommended time to solve each question.
POSITIVE,Consume media flexibly across contexts and constraints,Access entertainment content while exercising at the gym
POSITIVE,Support content creation workflows (language and multimedia creation),Create multimedia content.
NEGATIVE,Support day-to-day weather checking and planning.,View significant weather events occurring in a specified location
POSITIVE,Accelerate learning,Provide guidance on what to do next after getting started
POSITIVE,Manage grocery lists and recurring purchasing,Restock regularly purchased grocery items on a monthly basis.
POSITIVE,Avoid logical errors in explanations,Verify the correctness of explanations and terminology using authoritative reference materials
NEGATIVE,Create a shopping list by reusing and customizing a template for different occasions,View item quantity
POSITIVE,Browse top news headlines regularly,Read only headlines when time is limited
NEGATIVE,Manage debit card and overdraft features,Categorize spending into expense categories
POSITIVE,Plan and choose an appropriate transportation option for the trip,"Decide whether to take a ride based on travel time, price, driving preference or ability, and available alternative transportation options"
NEGATIVE,Add a title to a post,Enable live chat within conversation communities
NEGATIVE,Identify alternative contact information when initial outreach receives no response,Select a neighborhood or area to search for a home or apartment in
NEGATIVE,Provide payment details to complete the subscription purchase,Ensure safe and compliant content access and distribution
POSITIVE,"Enable personalized, efficient news consumption",Adjust displayed content over time based on a user’s past choices and behavior
POSITIVE,"Discover items and sellers using search, browsing, local exploration, and social inspiration",Browse through many images to see what is available and discover products to choose
NEGATIVE,View content statistics such as view counts and creation dates,Support creators in producing and publishing video content
NEGATIVE,Prevent personal data from being exposed to other people outside the platform,Keep job applications and targeted roles private from others
POSITIVE,Create a long-term personal financial plan,Rebalance investment allocations on a periodic schedule
POSITIVE,Shop for groceries efficiently across online and in-store channels,Enable users to add forgotten items to an existing grocery order without visiting the physical store
NEGATIVE,Set aside a dedicated block of time to practice questions,"Access clearly explained solutions to coding problems with walkthroughs, examples, and algorithm details"
POSITIVE,"Provide an efficient, personalized news reading workflow",Resume viewing a list from the previous position without restarting at the top
POSITIVE,Learn about investing and trading,Learn about algorithms used by companies and active traders to generate profits
NEGATIVE,Load a new batch of news items after items are marked read and indicate loading status,Enable efficient triage and later review of news items
SYMMETRIC;,Guide a user through the steps shown on their screen to achieve a desired outcome efficiently,Provide guidance that helps someone understand a topic without a steep learning curve
NEGATIVE,Display a visual history showing where branches were created and merged,Visually map the change history of a version-controlled repository to provide context.
POSITIVE,Get assistance reading emails,Identify and highlight important messages and critical instructions or disclaimers within messages
POSITIVE,Accelerate research workflows,Run many travel searches in parallel across combinations of criteria.
POSITIVE,Create and manage categories for messages and notifications,Communicate with others using shared message categories
NEGATIVE,Filter search results to show long-form content longer than 20 minutes,Search for short videos using remembered details
NEGATIVE,Prevent skills from deteriorating over time through regular practice,"Support focused, personalized practice planning."
NEGATIVE,Improve research accuracy,Adjust departure and arrival times to fit a desired time window
POSITIVE,Manage and maintain a personal professional profile,Save updates made to a personal profile
SYMMETRIC,"Edit text-based files on servers using a basic, non-graphical text editor.",Open and use a text editor through a command-line interface on a remote server or in terminal-only environments
POSITIVE,Discover and shortlist suitable referral candidates.,Enable searching across as many potential connections as possible.
POSITIVE,Trade cryptocurrencies using an easy-to-use exchange interface,Execute trades quickly and with minimal effort
NEGATIVE,"Discover and select content efficiently (search, browse, recommendations)",Ensure the subscription provides good value for its cost
NEGATIVE,Attach documents to questions to provide additional context,"Provide efficient, always-available conversational support"
SYMMETRIC,Receive job notification emails that are concise and include all necessary job details,Apply to a job directly from a job notification email
POSITIVE,Allow viewers to choose videos to watch from available options,View available viewing options for a video through conversation or discussion
POSITIVE,"Support accessible, usable playback experience",Mute or unmute video audio
POSITIVE,Receive scheduled weather update notifications multiple times per day.,Receive weekly weather updates.
NEGATIVE,Continue to see breaking news alerts for selected topics or events even when other related content is hidden.,Receive timely news updates about events within a couple of days of when they happen.
NEGATIVE,Communicate with a bank representative through a web-based chat interface,Lock a payment card
POSITIVE,Evaluate and shortlist housing options effectively,Collect multiple options on a single page for review
POSITIVE,Search for job postings and filter results by region,Filter search results by region
NEGATIVE,Determine the source of the weather data.,View significant weather events occurring worldwide
