G1,G2,rater1,rater2,
Search for specific information or messages,Enable seamless and secure data transfer,NONE,NONE,
Provide professional and relevant content experience,Get feedback from interviewees about company hiring processes,REFINED_BY,REFINES,
Utilize job search functionalities,Use profile for job applications,NONE,REFINES,
Upload a video or start a stream.,Publish a video after uploading it,REFINES,REFINES,
Optimize user decision-making based on weather information.,Consider transportation options based on temperature.,REFINED_BY,REFINED_BY,
Ensure data integrity and user privacy,Send a message to a colleague,NONE,REFINES,
Improve coding proficiency overall,Participate in weekly contests for practice,REFINED_BY,REFINED_BY,
Enhance user retention through personalized content and seamless navigation,Navigate with a smooth user experience,EQUIV,REFINED_BY,
Secure the best flight experience,Save time by being familiar with the application’s user interface,NONE,NONE,
Explore detailed radar maps for weather information.,Share unusual weather updates on social media.,REFINES,REFINES,
Increase interaction quality between users,Send a personalized note with connection requests,REFINED_BY,REFINED_BY,
Avoid being logged in to maintain privacy,Make sure flight details work for the schedule,NONE,NONE,
Enable viewers to subscribe to content creators,Search using vague criteria to find meaningful results,NONE,REFINES,
Facilitate organization of diverse content types,Save educational resources for future reference.,NONE,REFINED_BY,
Avoid cycling when it's very cold.,Provide general weather update upon opening the application.,REFINES,NONE,
Centralize communication features into a single application.,Communicate with peers and professors instantly,NONE,REFINES,
Make informed clothing decisions based on weather forecasts.,Ensure safety by preparing for adverse weather conditions.,REFINES,REFINED_BY,
Upload a video or start a stream.,Facilitate user-friendly content discovery through advanced search features,NONE,NONE,
Enhance coding abilities through structured practice,Prepare better for job interviews by practicing.,REFINES,REFINES,
Scroll through a personalized newsfeed,Scroll through topics of interest,EQUIV,REFINES,
Enhanced data privacy controls,Accept data being shared with other parties,REFINED_BY,REFINES,
Find a good deal when booking flights,Compare multiple booking platforms simultaneously,REFINED_BY,REFINED_BY,
Blacklist irrelevant job postings,Track the application status or employer responsiveness.,NONE,NONE,
Prepare better for job interviews by practicing.,Practice using similar questions linked by category,REFINED_BY,REFINED_BY,
Search for video content visually,Provide enhanced search and discovery features for user engagement.,REFINES,REFINES,
Find a good deal when booking flights,Make sure flight details work for the schedule,REFINED_BY,NONE,
Upload a video or start a stream.,Publish a video after uploading it,REFINES,REFINES,
Expand content diversity to attract wide user demographics,Watch personalized content recommendations,NONE,NONE,
Maintain user privacy while personalizing content.,Accept data being shared with other parties,REFINED_BY,REFINES,
Facilitate Real-time and Asynchronous Communication,Communicate with peers and professors instantly,REFINED_BY,REFINES,
Store books in online accounts,Read downloaded PDFs on a tablet,NONE,NONE,
Ensure user privacy and security for job applications function,Keep application details private and avoid exposure to unintended parties.,REFINED_BY,REFINES,
Access saved job listings,Access saved jobs,EQUIV,NONE,
