G1,G2,rater1,rater2
Search for specific information or messages,Enable seamless and secure data transfer,NONE,NONE
Provide professional and relevant content experience,Get feedback from interviewees about company hiring processes,REFINED_BY,REFINES
Utilize job search functionalities,Use profile for job applications,NONE,REFINES
Upload a video or start a stream.,Publish a video after uploading it,REFINES,REFINES
Optimize user decision-making based on weather information.,Consider transportation options based on temperature.,REFINED_BY,REFINED_BY
Ensure data integrity and user privacy,Send a message to a colleague,NONE,REFINES
Improve coding proficiency overall,Participate in weekly contests for practice,REFINED_BY,REFINED_BY
Enhance user retention through personalized content and seamless navigation,Navigate with a smooth user experience,EQUIV,REFINED_BY
Secure the best flight experience,Save time by being familiar with the application’s user interface,NONE,NONE
Explore detailed radar maps for weather information.,Share unusual weather updates on social media.,REFINES,REFINES
Increase interaction quality between users,Send a personalized note with connection requests,REFINED_BY,REFINED_BY
Avoid being logged in to maintain privacy,Make sure flight details work for the schedule,NONE,NONE
Enable viewers to subscribe to content creators,Search using vague criteria to find meaningful results,NONE,REFINES
Facilitate organization of diverse content types,Save educational resources for future reference.,NONE,REFINED_BY
Avoid cycling when it's very cold.,Provide general weather update upon opening the application.,REFINES,NONE
Centralize communication features into a single application.,Communicate with peers and professors instantly,NONE,REFINES
Make informed clothing decisions based on weather forecasts.,Ensure safety by preparing for adverse weather conditions.,REFINES,REFINED_BY
Upload a video or start a stream.,Facilitate user-friendly content discovery through advanced search features,NONE,NONE
Enhance coding abilities through structured practice,Prepare better for job interviews by practicing.,REFINES,REFINES
Scroll through a personalized newsfeed,Scroll through topics of interest,EQUIV,REFINES
Enhanced data privacy controls,Accept data being shared with other parties,REFINED_BY,REFINES
Find a good deal when booking flights,Compare multiple booking platforms simultaneously,REFINED_BY,REFINED_BY
Blacklist irrelevant job postings,Track the application status or employer responsiveness.,NONE,NONE
Prepare better for job interviews by practicing.,Practice using similar questions linked by category,REFINED_BY,REFINED_BY
Search for video content visually,Provide enhanced search and discovery features for user engagement.,REFINES,REFINES
Find a good deal when booking flights,Make sure flight details work for the schedule,REFINED_BY,NONE
Upload a video or start a stream.,Publish a video after uploading it,REFINES,REFINES
Expand content diversity to attract wide user demographics,Watch personalized content recommendations,NONE,NONE
Maintain user privacy while personalizing content.,Accept data being shared with other parties,REFINED_BY,REFINES
Facilitate Real-time and Asynchronous Communication,Communicate with peers and professors instantly,REFINED_BY,REFINES
Store books in online accounts,Read downloaded PDFs on a tablet,NONE,NONE
Ensure user privacy and security for job applications function,Keep application details private and avoid exposure to unintended parties.,REFINED_BY,REFINES
Access saved job listings,Access saved jobs,EQUIV,NONE
Use a music streaming feature made for discovering new songs,Discover new songs similar to ones heard online.,REFINES,REFINES
Enhance user decision-making with detailed weather data.,Adjust travel plans based on weather conditions.,REFINED_BY,REFINED BY
Manage professional identity,Access saved jobs,NONE,NONE
Organize reading materials effectively,Have a place to consolidate all reading materials,REFINED_BY,REFINED BY
Improve job search experience,View number of people entering the hiring process,NONE,REFINED BY
Communicate with friends and family,Backup and restore messages when changing phones,REFINED_BY,NONE
Receive job recommendations,Enhance user engagement with content,REFINES,NONE
Enhance search functionality to identify suitable professional contacts,Consider purchasing a premium membership to expand search capabilities,NONE,REFINED BY
Participate in weekly contests for practice,Explore new algorithms,NONE,REFINES
Postpone activities in case of extreme weather conditions.,Check weather forecasts for the entire week for trip planning.,REFINED_BY,NONE
Ensure optimal travel experience,Check direct airline websites for better pricing,NONE,NONE
Facilitate seamless and secure transactions,Scan QR codes for payment transactions,REFINED_BY,NONE
Use profile for job applications,Upload a resume,REFINED_BY,REFINED BY
Facilitate User Engagement with Tailored Content,Search for answers within communities.,REFINED_BY,REFINED BY
Engage with home-page feeds for interesting insights.,Scroll through a personalized newsfeed,REFINES,NONE
Ensure user data privacy and security,Get job updates that match personal skill set.,NONE,NONE
Receive job updates specific to domain and skill set,Enhance personalization and relevance of job matches,REFINES,REFINES
Facilitate social sharing and personalization,Create and use personal playlists,NONE,REFINED BY
